HDR	The Home Depot	SXS8403201203120001
DTL	20120310	725274565320		7001		1	1000708406	8.79		5800001027		
DTL	20120310	55113700026		7001		1	1000708200	3.19		5800001027		
DTL	20120310	620058715512		7001		1	1000708201	3.19		5800001027		
DTL	20120310	TAXAMT		7001				1.98		5800001027		
DTL	20120310	94115565264		7012		1	1000707979	7.19		5800001028		
DTL	20120310	75490000038		7012		1	1000664706	4.79		5800001028		
DTL	20120310	74470381136		7012		2	1000708082	11.16		5800001028		
DTL	20120310	73361084583		7012		1	1000713482	4.79		5800001028		
DTL	20120310	725274565313		7012		1	1000675927	8.79		5800001028		
DTL	20120310	27100000839		7012		1	1000668310	5.59		5800001028		
DTL	20120310	14005142535		7012		1	1000666222	10.39		5800001028		
DTL	20120310	35707000060		7012		1	1000708085	5.59		5800001028		
DTL	20120310	TAXAMT		7012				9.04		5800001028		
DTL	20120310	27100007432		7073		1	1000708079	5.59		5800001029		
DTL	20120310	55113570957		7073		1	1000708405	9.56		5800001029		
DTL	20120310	55113571022		7073		1	1000708074	5.56		5800001029		
DTL	20120310	69711700357		7073		1	1000668309	4.40		5800001029		
DTL	20120310	71658011267		7073		1	1000706444	7.96		5800001029		
DTL	20120310	71658021235		7073		1	1000707962	4.79		5800001029		
DTL	20120310	72440144262		7073		1	1000664705	10.39		5800001029		
DTL	20120310	725274565344		7073		1	1000706288	8.79		5800001029		
DTL	20120310	74470101505		7073		1	1000707966	4.79		5800001029		
DTL	20120310	74470701040		7073		4	1000720760	4.79		5800001029		
DTL	20120310	75470083938		7073		1	1000708081	5.59		5800001029		
DTL	20120310	620058715512		7073		1	1000708201	3.19		5800001029		
DTL	20120310	94115565257		7073		1	1000707978	7.19		5800001029		
DTL	20120310	TAXAMT		7073				12.61		5800001029		
DTL	20120310	71658023949		7107		1	1000670407	5.59		5800001030		
DTL	20120310	55113571022		7107		1	1000708074	5.56		5800001030		
DTL	20120310	TAXAMT		7107				1.45		5800001030		
DTL	20120310	14005140456		7129		1	1000708072	7.19		5800001031		
DTL	20120310	69426715486		7129		1	1000727175	4.19		5800001031		
DTL	20120310	70989391987		7129		1	1000674431	5.59		5800001031		
DTL	20120310	70989392076		7129		1	1000686341	8.79		5800001031		
DTL	20120310	71486014638		7129		1	1000724001	11.16		5800001031		
DTL	20120310	TAXAMT		7129				4.81		5800001031		
DTL	20120310	71486016717		7170		1	1000708094	6.39		5800001032		
DTL	20120310	TAXAMT		7170				0.32		5800001032		
